| hour |  stock   |       VWAP |
--------------------------------
|   13 |    A     |    74.3932 |
|   13 |    AA    |    29.0574 |
|   13 |   AAAU   |    13.1000 |
|   13 |   AABA   |    67.6272 |
|   13 |   AAL    |    36.4203 |
|   13 |   AAN    |    49.3949 |
|   13 |   AAOI   |    17.1713 |
|   13 |   AAON   |    35.5142 |
|   13 |   AAP    |   158.6822 |
|   13 |   AAPL   |   163.0151 |
|   13 |   AAT    |    42.3967 |
|   13 |   AAWW   |    51.3489 |
|   13 |   AAXJ   |    67.5700 |
|   13 |   AAXN   |    49.1653 |
|   13 |    AB    |    29.9979 |
|   13 |   ABB    |    19.1482 |
|   13 |   ABBV   |    78.1269 |
|   13 |   ABC    |    79.1326 |
|   13 |   ABCB   |    37.4522 |
|   13 |   ABDC   |     7.1350 |
|   13 |   ABEO   |     6.5822 |
|   13 |   ABEV   |     4.7259 |
|   13 |   ABG    |    69.5095 |
|   13 |   ABIO   |     0.4325 |
|   13 |   ABM    |    32.8652 |
|   13 |   ABMD   |   332.5712 |
|   13 |   ABR    |    11.7097 |
|   13 |   ABT    |    70.4321 |
|   13 |   ABTX   |    36.2229 |
|   13 |   ABUS   |     3.5800 |
|   13 |    AC    |    41.2800 |
|   13 |   ACA    |    28.4657 |
|   13 |   ACAD   |    22.5140 |
|   13 |   ACB    |     6.9453 |
|   13 |   ACBI   |    18.3871 |
|   13 |   ACC    |    46.1712 |
|   13 |   ACCO   |     8.7990 |
|   13 |   ACER   |    23.6915 |
|   13 |   ACET   |     1.1788 |
|   13 |   ACGL   |    28.9530 |
|   13 |  ACGLO   |    22.6676 |
|   13 |   ACH    |     9.0300 |
|   13 |   ACHC   |    27.5095 |
|   13 |   ACHN   |     2.1066 |
|   13 |   ACIA   |    43.1880 |
|   13 |   ACIU   |     4.0277 |
|   13 |   ACIW   |    28.3715 |
|   13 |   ACLS   |    20.5493 |
|   13 |   ACM    |    30.0874 |
|   13 |   ACMR   |     9.3900 |
|   13 |   ACN    |   152.2797 |
|   13 |   ACNB   |    37.2000 |
|   13 |   ACOR   |    16.0756 |
|   13 |   ACRX   |     2.4247 |
|   13 |   ACST   |     1.0250 |
|   13 |   ACTG   |     3.0375 |
|   13 |   ACV    |    20.9600 |
|   13 |   ACWF   |    28.0900 |
|   13 |   ACWI   |    68.3561 |
|   13 |   ACWV   |    84.4055 |
|   13 |   ACWX   |    44.6607 |
|   13 |   ADAP   |     4.6100 |
|   13 |   ADBE   |   240.1571 |
|   13 |   ADC    |    64.9262 |
|   13 |   ADES   |    11.4525 |
|   13 |   ADI    |    98.0807 |
|   13 |   ADIL   |     5.3504 |
|   13 |   ADM    |    44.6015 |
|   13 |   ADMA   |     2.9900 |
|   13 |   ADMP   |     3.1064 |
|   13 |   ADMS   |     8.8894 |
|   13 |   ADNT   |    18.9551 |
|   13 |   ADOM   |     0.2548 |
|   13 |   ADP    |   139.1999 |
|   13 |   ADRO   |     2.5250 |
|   13 |   ADS    |   177.3916 |
|   13 |   ADSK   |   142.4914 |
|   13 |   ADSW   |    24.8369 |
|   13 |   ADT    |     7.0709 |
|   13 |   ADTN   |    14.7600 |
|   13 |   ADUS   |    60.3144 |
|   13 |   ADVM   |     3.0433 |
|   13 |   ADX    |    13.5600 |
|   13 |   ADXS   |     0.3370 |
|   13 |   AEE    |    67.5656 |
|   13 |   AEGN   |    17.8343 |
|   13 |   AEHR   |     1.1800 |
|   13 |   AEIS   |    50.6357 |
|   13 |   AEL    |    30.3706 |
|   13 |   AEM    |    42.4369 |
|   13 |   AEO    |    21.1860 |
|   13 |   AEP    |    76.9848 |
|   13 |   AER    |    47.6789 |
|   13 |   AERI   |    46.6947 |
|   13 |   AES    |    16.1654 |
|   13 |   AEYE   |    10.9450 |
|   13 |   AFG    |    94.9864 |
|   13 |   AFI    |    13.0808 |
|   13 |   AFIN   |    13.0452 |
|   13 |   AFL    |    47.1931 |
|   13 |   AFMD   |     3.2000 |
|   13 |  AFSI-B  |     8.1600 |
|   13 |  AFSI-F  |     8.1700 |
|   13 |   AFSS   |    14.9750 |
|   13 |    AG    |     5.8173 |
|   13 |   AGCO   |    63.5153 |
|   13 |   AGE    |     3.8100 |
|   13 |   AGEN   |     3.4782 |
|   13 |   AGG    |   106.8307 |
|   13 |   AGGY   |    48.6150 |
|   13 |   AGI    |     4.3450 |
|   13 |   AGIO   |    50.3919 |
|   13 |   AGLE   |     9.0100 |
|   13 |   AGM    |    71.3300 |
|   13 |   AGN    |   144.0043 |
|   13 |   AGNC   |    17.9791 |
|   13 |  AGNCN   |    25.7604 |
|   13 |   AGO    |    40.2152 |
|   13 |  AGO-E   |    25.4500 |
|   13 |   AGR    |    48.9935 |
|   13 |   AGRO   |     7.4114 |
|   13 |   AGRX   |     0.8382 |
|   13 |   AGS    |    24.6363 |
|   13 |   AGTC   |     2.9600 |
|   13 |   AGX    |    41.9114 |
|   13 |   AGYS   |    17.8338 |
|   13 |   AHL    |    41.7841 |
|   13 |  AHL-D   |    23.1300 |
|   13 |   AHT    |     4.9044 |
|   13 |  AHT-G   |    20.9400 |
|   13 |    AI    |     8.6231 |
|   13 |   AIG    |    42.5092 |
|   13 |   AIG+   |     7.0200 |
|   13 |   AIMC   |    29.4238 |
|   13 |   AIMT   |    22.3442 |
|   13 |   AIN    |    68.5100 |
|   13 |   AINC   |    63.0450 |
|   13 |   AINV   |    14.9090 |
|   13 |   AIR    |    37.0529 |
|   13 |   AIRG   |    10.8670 |
|   13 |   AIRR   |    23.5869 |
|   13 |   AIT    |    57.7204 |
|   13 |   AIV    |    49.3140 |
|   13 |   AIZ    |    95.3047 |
|   13 |   AJG    |    72.5504 |
|   13 |   AJRD   |    38.7747 |
|   13 |   AJX    |    12.8411 |
|   13 |   AJXA   |    24.3200 |
|   13 |   AKAM   |    63.9573 |
|   13 |   AKAO   |     1.7050 |
|   13 |   AKBA   |     5.6533 |
|   13 |   AKCA   |    28.0900 |
|   13 |   AKER   |     1.0950 |
|   13 |   AKR    |    28.2800 |
|   13 |   AKRX   |     4.0720 |
|   13 |   AKS    |     2.8828 |
|   13 |   AKTS   |     7.4389 |
|   13 |   AKTX   |     1.9933 |
|   13 |    AL    |    37.6924 |
|   13 |   ALB    |    79.1139 |
|   13 |   ALBO   |    23.6700 |
|   13 |   ALCO   |    30.2695 |
|   13 |   ALDR   |    13.5161 |
|   13 |   ALDX   |     8.4100 |
|   13 |   ALE    |    75.1061 |
|   13 |   ALEX   |    22.6300 |
|   13 |   ALGN   |   224.7543 |
|   13 |   ALGT   |   126.8766 |
|   13 |   ALIM   |     0.8500 |
|   13 |   ALK    |    65.0187 |
|   13 |   ALKS   |    32.3733 |
|   13 |   ALL    |    86.9550 |
|   13 |   ALLE   |    84.9019 |
|   13 |   ALLK   |    39.3655 |
|   13 |   ALLO   |    30.0624 |
|   13 |   ALLT   |     6.7500 |
|   13 |   ALLY   |    26.5753 |
|   13 |   ALNY   |    79.5069 |
|   13 |   ALOT   |    19.9400 |
|   13 |   ALRM   |    61.9720 |
|   13 |   ALSN   |    48.8190 |
|   13 |   ALT    |     3.1835 |
|   13 |   ALTM   |     8.2602 |
|   13 |   ALTR   |    31.3445 |
|   13 |   ALV    |    78.0802 |
|   13 |   ALXN   |   119.2058 |
|   13 |    AM    |    26.2314 |
|   13 |   AMAG   |    15.2000 |
|   13 |   AMAL   |    18.5827 |
|   13 |   AMAT   |    39.1597 |
|   13 |   AMBA   |    37.9114 |
|   13 |   AMBC   |    18.5456 |
|   13 |   AMC    |    14.0592 |
|   13 |   AMCI   |     9.6800 |
|   13 |   AMCX   |    61.7122 |
|   13 |   AMD    |    22.3054 |
|   13 |   AME    |    71.8761 |
|   13 |   AMED   |   129.1936 |
|   13 |   AMEH   |    18.8102 |
|   13 |   AMG    |   104.8396 |
|   13 |   AMGN   |   183.5162 |
|   13 |   AMGP   |    13.8985 |
|   13 |   AMH    |    22.0406 |
|   13 |  AMH-E   |    23.7950 |
|   13 |  AMH-G   |    22.4600 |
|   13 |  AMH-H   |    23.6900 |
|   13 |   AMID   |     4.0900 |
|   13 |   AMJ    |    25.2662 |
|   13 |   AMKR   |     7.8650 |
|   13 |   AMLP   |     9.9481 |
|   13 |   AMN    |    64.3497 |
|   13 |   AMNB   |    32.4600 |
|   13 |   AMOT   |    41.5495 |
|   13 |   AMP    |   119.4339 |
|   13 |   AMPE   |     0.4944 |
|   13 |   AMR    |     1.0027 |
|   13 |   AMRC   |    14.9817 |
