| hour |  stock   |       VWAP |
--------------------------------
|   11 |    A     |    73.7880 |
|   11 |    AA    |    29.2841 |
|   11 |   AABA   |    67.7471 |
|   11 |   AAC    |     2.3393 |
|   11 |   AAL    |    36.4105 |
|   11 |   AAME   |     2.5417 |
|   11 |   AAN    |    49.0716 |
|   11 |   AAOI   |    17.1311 |
|   11 |   AAON   |    35.7213 |
|   11 |   AAP    |   159.7473 |
|   11 |   AAPL   |   162.5598 |
|   11 |   AAT    |    42.5297 |
|   11 |   AAWW   |    51.5868 |
|   11 |   AAXJ   |    67.4641 |
|   11 |   AAXN   |    48.7551 |
|   11 |    AB    |    30.1000 |
|   11 |   ABB    |    19.0822 |
|   11 |   ABBV   |    77.7022 |
|   11 |   ABC    |    79.5382 |
|   11 |   ABCB   |    37.5624 |
|   11 |   ABDC   |     7.0000 |
|   11 |   ABEO   |     6.5168 |
|   11 |   ABEV   |     4.7296 |
|   11 |   ABG    |    69.8762 |
|   11 |   ABIO   |     0.4400 |
|   11 |   ABM    |    33.1199 |
|   11 |   ABMD   |   330.5378 |
|   11 |   ABR    |    11.7467 |
|   11 |   ABT    |    70.3051 |
|   11 |   ABTX   |    36.2794 |
|   11 |   ABUS   |     3.5100 |
|   11 |    AC    |    41.2200 |
|   11 |   ACA    |    28.7264 |
|   11 |   ACAD   |    22.2443 |
|   11 |   ACB    |     7.0144 |
|   11 |   ACBI   |    18.3712 |
|   11 |   ACC    |    46.1936 |
|   11 |   ACCO   |     8.8550 |
|   11 |   ACER   |    23.2228 |
|   11 |   ACET   |     1.1750 |
|   11 |   ACGL   |    28.9293 |
|   11 |  ACGLO   |    22.7042 |
|   11 |  ACGLP   |    22.1500 |
|   11 |   ACH    |     9.0100 |
|   11 |   ACHC   |    27.5409 |
|   11 |   ACHN   |     2.0850 |
|   11 |   ACIA   |    43.0674 |
|   11 |   ACIU   |     4.0452 |
|   11 |   ACIW   |    28.4620 |
|   11 |   ACLS   |    20.3951 |
|   11 |   ACM    |    30.1146 |
|   11 |   ACMR   |     9.3400 |
|   11 |   ACN    |   152.3095 |
|   11 |   ACOR   |    15.7841 |
|   11 |   ACP    |    11.4900 |
|   11 |   ACRE   |    14.3302 |
|   11 |   ACRS   |     6.9077 |
|   11 |   ACRX   |     2.4135 |
|   11 |   ACST   |     1.0300 |
|   11 |   ACTG   |     3.0379 |
|   11 |   ACWI   |    68.3092 |
|   11 |   ACWV   |    84.3800 |
|   11 |   ACWX   |    44.6500 |
|   11 |   ADAP   |     4.5100 |
|   11 |   ADBE   |   239.6358 |
|   11 |   ADC    |    64.7014 |
|   11 |   ADES   |    11.5400 |
|   11 |   ADI    |    97.7741 |
|   11 |   ADIL   |     5.1868 |
|   11 |   ADM    |    44.6191 |
|   11 |   ADMA   |     3.0129 |
|   11 |   ADMP   |     3.1200 |
|   11 |   ADMS   |     8.5697 |
|   11 |   ADNT   |    18.8692 |
|   11 |   ADOM   |     0.2522 |
|   11 |   ADP    |   138.9090 |
|   11 |   ADS    |   177.3767 |
|   11 |   ADSK   |   142.0260 |
