| hour |  stock   |       VWAP |
--------------------------------
|   19 |   AAPL   |   165.5370 |
|   19 |   ACIU   |     3.7600 |
|   19 |   AMMA   |     0.2901 |
|   19 |   AMZN   |  1690.4593 |
|   19 |   BABA   |   167.0589 |
|   19 |   BAC    |    29.1200 |
|   19 |   BILI   |    17.8700 |
|   19 |   BND    |    79.5200 |
|   19 |  BRK.B   |   206.0800 |
|   19 |   CGC    |    47.8000 |
|   19 |   CRM    |   150.0000 |
|   19 |    CY    |    14.2800 |
|   19 |    FB    |   167.8207 |
|   19 |   FISV   |    84.9400 |
|   19 |    GE    |     9.1600 |
|   19 |   GLD    |   124.9633 |
|   19 |  GOOGL   |  1113.8492 |
|   19 |    GS    |   202.8900 |
|   19 |   HPQ    |    22.1100 |
|   19 |   IAG    |     3.6300 |
|   19 |   KHC    |    46.9700 |
|   19 |   MSFT   |   103.5142 |
|   19 |    MT    |    23.0100 |
|   19 |    MU    |    38.4471 |
|   19 |   NEM    |    33.9800 |
|   19 |   NFLX   |   341.5835 |
|   19 |   NIO    |     7.4500 |
|   19 |   NOW    |   207.5515 |
|   19 |   NVDA   |   137.8238 |
|   19 |   OCX    |     5.1900 |
|   19 |   ORMP   |     3.1000 |
|   19 |   PEP    |   111.2200 |
|   19 |   PYPL   |    89.0354 |
|   19 |   QCOM   |    51.3500 |
|   19 |   QQQ    |   166.9833 |
|   19 |   RMD    |    94.9499 |
|   19 |   SCYX   |     1.4500 |
|   19 |   SPY    |   268.1960 |
|   19 |    SQ    |    71.6100 |
|   19 |   STX    |    43.9900 |
|   19 |   TMUS   |    68.5600 |
|   19 |   TQQQ   |    45.9200 |
|   19 |   TROV   |     0.6810 |
|   19 |   TSLA   |   294.8183 |
|   19 |   TVIX   |    42.8900 |
|   19 |   TXMD   |     5.2500 |
|   19 |   UCO    |    18.3200 |
|   19 |   UGAZ   |    38.8000 |
|   19 |    V     |   135.4938 |
|   19 |   WBA    |    71.6000 |
|   19 |   WLTW   |   161.4100 |
|   19 |   WPM    |    20.7300 |
|   19 |   WYNN   |   123.9978 |
|   19 |    X     |    20.8738 |
