| hour |  stock   |       VWAP |
--------------------------------
|    9 |    A     |    73.9179 |
|    9 |    AA    |    28.8447 |
|    9 |   AABA   |    66.6021 |
|    9 |   AAC    |     2.2200 |
|    9 |   AAL    |    36.4717 |
|    9 |   AAME   |     2.7500 |
|    9 |   AAN    |    49.1015 |
|    9 |   AAOI   |    16.5938 |
|    9 |   AAON   |    35.6222 |
|    9 |   AAP    |   158.0214 |
|    9 |   AAPL   |   162.2069 |
|    9 |   AAT    |    42.0446 |
|    9 |   AAWW   |    50.8305 |
|    9 |   AAXJ   |    67.4266 |
|    9 |   AAXN   |    48.7103 |
|    9 |    AB    |    30.0303 |
|    9 |   ABB    |    19.0790 |
|    9 |   ABBV   |    77.7072 |
|    9 |   ABC    |    79.6667 |
|    9 |   ABCB   |    37.9639 |
|    9 |   ABEO   |     6.5156 |
|    9 |   ABEV   |     4.7579 |
|    9 |   ABG    |    69.1780 |
|    9 |   ABIL   |     2.0125 |
|    9 |   ABIO   |     0.4001 |
|    9 |   ABM    |    33.1520 |
|    9 |   ABMD   |   332.4308 |
|    9 |   ABR    |    11.6673 |
|    9 |   ABT    |    69.9566 |
|    9 |   ABTX   |    36.1819 |
|    9 |   ACA    |    29.4592 |
|    9 |   ACAD   |    22.5795 |
|    9 |   ACB    |     6.9057 |
|    9 |   ACBI   |    18.4065 |
|    9 |   ACC    |    45.8049 |
|    9 |   ACCO   |     8.8600 |
|    9 |   ACER   |    22.9126 |
|    9 |   ACGL   |    28.7994 |
|    9 |  ACGLO   |    22.7200 |
|    9 |  ACGLP   |    22.1400 |
|    9 |   ACH    |     9.0100 |
|    9 |   ACHC   |    27.6286 |
|    9 |   ACHN   |     2.1412 |
|    9 |   ACHV   |     1.4200 |
|    9 |   ACIA   |    42.8109 |
|    9 |   ACIU   |     3.5122 |
|    9 |   ACIW   |    28.5980 |
|    9 |   ACLS   |    20.5508 |
|    9 |   ACM    |    30.1465 |
|    9 |   ACMR   |     9.4600 |
|    9 |   ACN    |   152.1297 |
|    9 |   ACOR   |    15.8804 |
|    9 |   ACP    |    11.5446 |
|    9 |   ACRS   |     6.8617 |
|    9 |   ACRX   |     2.4120 |
|    9 |   ACT    |    22.8800 |
|    9 |   ACWI   |    68.2523 |
|    9 |   ADAP   |     4.6782 |
|    9 |   ADBE   |   241.1261 |
|    9 |   ADC    |    64.4200 |
|    9 |   ADES   |    11.4678 |
|    9 |   ADI    |    97.6239 |
|    9 |   ADIL   |     4.9900 |
|    9 |   ADM    |    44.2934 |
|    9 |   ADMP   |     3.1200 |
|    9 |   ADMS   |     8.5086 |
|    9 |   ADNT   |    18.8498 |
|    9 |   ADOM   |     0.2604 |
|    9 |   ADP    |   136.8102 |
|    9 |   ADRO   |     2.4466 |
|    9 |   ADS    |   177.3128 |
|    9 |   ADSK   |   141.6444 |
|    9 |   ADSW   |    24.7033 |
|    9 |   ADT    |     7.1610 |
|    9 |   ADTN   |    14.3418 |
|    9 |   ADUS   |    59.5969 |
|    9 |   ADVM   |     2.9718 |
|    9 |   ADXS   |     0.3547 |
|    9 |    AE    |    39.8217 |
|    9 |   AEE    |    67.4574 |
|    9 |   AEG    |     5.1950 |
|    9 |   AEGN   |    17.8007 |
|    9 |   AEHR   |     1.2019 |
|    9 |   AEIS   |    50.3419 |
|    9 |   AEL    |    30.2814 |
