| hour |  stock   |       VWAP |
--------------------------------
|   14 |    A     |    75.1335 |
|   14 |    AA    |    29.4596 |
|   14 |   AABA   |    68.1671 |
|   14 |   AAC    |     2.3025 |
|   14 |   AAL    |    36.5520 |
|   14 |   AAN    |    49.5867 |
|   14 |   AAOI   |    17.3615 |
|   14 |   AAON   |    36.0014 |
|   14 |   AAP    |   159.1020 |
|   14 |   AAPL   |   164.3980 |
|   14 |   AAT    |    42.5892 |
|   14 |   AAWW   |    52.0848 |
|   14 |   AAXJ   |    68.1461 |
|   14 |   AAXN   |    49.6353 |
|   14 |    AB    |    30.1560 |
|   14 |   ABB    |    19.3125 |
|   14 |   ABBV   |    78.7198 |
|   14 |   ABC    |    78.8406 |
|   14 |   ABCB   |    37.6529 |
|   14 |   ABDC   |     7.1550 |
|   14 |   ABEO   |     6.5975 |
|   14 |   ABEV   |     4.7983 |
|   14 |   ABG    |    69.9171 |
|   14 |   ABM    |    33.1469 |
|   14 |   ABMD   |   337.5300 |
|   14 |   ABR    |    11.7738 |
|   14 |  ABR-B   |    25.6800 |
|   14 |   ABT    |    71.2394 |
|   14 |   ABTX   |    36.2458 |
|   14 |   ABUS   |     3.7050 |
|   14 |    AC    |    40.7800 |
|   14 |   ACA    |    28.7720 |
|   14 |   ACAD   |    22.6932 |
|   14 |   ACB    |     6.9548 |
|   14 |   ACBI   |    18.4048 |
|   14 |   ACC    |    46.2241 |
|   14 |   ACCO   |     8.8831 |
|   14 |   ACER   |    24.0675 |
|   14 |   ACET   |     1.2300 |
|   14 |   ACGL   |    29.1416 |
|   14 |  ACGLO   |    22.7800 |
|   14 |  ACGLP   |    22.1497 |
|   14 |   ACH    |     9.0591 |
|   14 |   ACHC   |    27.6955 |
|   14 |   ACHN   |     2.1057 |
|   14 |   ACIA   |    43.0935 |
|   14 |   ACIU   |     3.8770 |
|   14 |   ACIW   |    28.6579 |
|   14 |   ACLS   |    20.7327 |
|   14 |   ACM    |    30.3877 |
|   14 |   ACN    |   153.3779 |
|   14 |   ACOR   |    16.1601 |
|   14 |   ACP    |    11.5600 |
|   14 |   ACRE   |    14.3733 |
|   14 |   ACRS   |     7.0180 |
|   14 |   ACRX   |     2.4476 |
|   14 |   ACST   |     1.0250 |
|   14 |   ACWF   |    28.2600 |
|   14 |   ACWI   |    68.6758 |
|   14 |   ACWV   |    85.0700 |
|   14 |   ACWX   |    44.8889 |
|   14 |   ADAP   |     4.6900 |
|   14 |   ADBE   |   242.0066 |
|   14 |   ADC    |    64.9971 |
|   14 |   ADES   |    11.4400 |
|   14 |   ADI    |    98.9259 |
|   14 |   ADIL   |     5.4719 |
|   14 |   ADM    |    44.7383 |
|   14 |   ADMA   |     3.0751 |
|   14 |   ADMP   |     3.0700 |
|   14 |   ADMS   |     8.9481 |
|   14 |   ADNT   |    19.1382 |
|   14 |   ADP    |   140.2528 |
|   14 |   ADRA   |    30.4700 |
|   14 |   ADRO   |     2.5840 |
|   14 |   ADS    |   178.6112 |
|   14 |   ADSK   |   144.0685 |
|   14 |   ADSW   |    24.8928 |
|   14 |   ADT    |     7.1777 |
|   14 |   ADTN   |    14.7675 |
|   14 |   ADUS   |    60.3384 |
|   14 |   ADVM   |     3.0227 |
|   14 |   ADX    |    13.6128 |
|   14 |   ADXS   |     0.3398 |
|   14 |   AEB    |    22.8000 |
|   14 |   AEE    |    68.0397 |
|   14 |   AEG    |     5.2375 |
|   14 |   AEGN   |    17.9925 |
|   14 |   AEH    |    25.6200 |
|   14 |   AEIS   |    51.1180 |
|   14 |   AEL    |    30.5922 |
|   14 |   AEM    |    43.4172 |
|   14 |   AEMD   |     1.3444 |
|   14 |   AEO    |    21.2077 |
|   14 |   AEP    |    77.5575 |
|   14 |   AER    |    48.2349 |
|   14 |   AERI   |    46.9253 |
|   14 |   AES    |    16.2858 |
|   14 |   AETI   |     0.9099 |
|   14 |   AFB    |    12.5300 |
|   14 |   AFG    |    95.1932 |
|   14 |   AFH    |     9.1017 |
|   14 |   AFI    |    13.2592 |
|   14 |   AFIN   |    13.1143 |
|   14 |   AFK    |    21.4130 |
|   14 |   AFL    |    47.4787 |
|   14 |   AFMD   |     3.2184 |
|   14 |  AFSI-D  |     8.4300 |
|   14 |  AFSI-F  |     8.3269 |
|   14 |   AFSS   |    14.7755 |
|   14 |    AG    |     5.9877 |
|   14 |   AGCO   |    64.0363 |
|   14 |   AGEN   |     3.4905 |
|   14 |   AGG    |   106.9577 |
|   14 |   AGGP   |    18.9600 |
|   14 |   AGGY   |    48.6912 |
|   14 |   AGI    |     4.4554 |
|   14 |   AGIO   |    50.9944 |
|   14 |   AGLE   |     9.0899 |
|   14 |   AGM    |    71.7924 |
|   14 |   AGMH   |    26.9900 |
|   14 |   AGN    |   143.6888 |
|   14 |   AGNC   |    17.9804 |
|   14 |  AGNCN   |    25.7900 |
|   14 |   AGO    |    40.3942 |
|   14 |  AGO-E   |    25.4588 |
|   14 |   AGQ    |    27.9880 |
