| hour |  stock   |       VWAP |
--------------------------------
|   18 |   AAPL   |   165.6183 |
|   18 |   ACIU   |     3.8300 |
|   18 |   ADBE   |   245.7667 |
|   18 |   ALGN   |   233.0500 |
|   18 |   AMD    |    23.1800 |
|   18 |   AMGN   |   184.8600 |
|   18 |   AMZN   |  1689.7353 |
|   18 |   APRN   |     1.4300 |
|   18 |   BABA   |   167.1431 |
|   18 |   BIDU   |   169.8324 |
|   18 |   BILI   |    17.8450 |
|   18 |   BKNG   |  1824.4759 |
|   18 |   BOX    |    20.3700 |
|   18 |   CAT    |   129.6800 |
|   18 |   COST   |   211.2000 |
|   18 |   CRM    |   150.6857 |
|   18 |   CRON   |    18.4900 |
|   18 |   CSCO   |    46.8100 |
|   18 |   EEM    |    42.8700 |
|   18 |    FB    |   168.1540 |
|   18 |   FLEX   |    10.6900 |
|   18 |    GE    |     9.2300 |
|   18 |   GOLD   |    13.1700 |
|   18 |   GOOG   |  1104.7570 |
|   18 |  GOOGL   |  1114.2612 |
|   18 |   HPQ    |    22.1800 |
|   18 |   IIPR   |    60.0500 |
|   18 |   INTC   |    47.6400 |
|   18 |   LULU   |   148.6600 |
|   18 |    MA    |   202.9372 |
|   18 |   MRCY   |    59.4500 |
|   18 |   MSFT   |   104.2249 |
|   18 |    MU    |    38.3700 |
|   18 |   MUX    |     1.8000 |
|   18 |   NFLX   |   341.4306 |
|   18 |   NOW    |   209.2854 |
|   18 |   NUGT   |    20.0579 |
|   18 |   NVDA   |   137.5196 |
|   18 |   PEP    |   110.8600 |
|   18 |   PYPL   |    89.1530 |
|   18 |   PYX    |    15.7700 |
|   18 |   QCOM   |    51.2989 |
|   18 |   QID    |    40.0800 |
|   18 |   QQQ    |   166.9158 |
|   18 |   ROKU   |    44.1400 |
|   18 |   SHOP   |   163.5000 |
|   18 |   SPY    |   268.1740 |
|   18 |    SQ    |    71.8433 |
|   18 |   SYK    |   181.2500 |
|   18 |   TDOC   |    62.1000 |
|   18 |   TMUS   |    68.7800 |
|   18 |   TQQQ   |    45.9870 |
|   18 |   TSLA   |   298.0679 |
|   18 |   TVIX   |    42.9564 |
|   18 |   TWTR   |    33.2450 |
|   18 |   ULTA   |   289.0900 |
|   18 |   UNG    |    25.6200 |
|   18 |   USO    |    11.4400 |
|   18 |    V     |   134.5734 |
|   18 |   WLTW   |   161.4100 |
|   18 |    X     |    20.8848 |
|   18 |   XLK    |    66.2912 |
|   18 |  ZVZZT   |     9.9952 |
