| hour |  stock   |       VWAP |
--------------------------------
|   15 |    A     |    75.3846 |
|   15 |    AA    |    29.6040 |
|   15 |   AABA   |    67.9558 |
|   15 |   AAC    |     2.2992 |
|   15 |   AAL    |    36.3635 |
|   15 |   AAN    |    49.4598 |
|   15 |   AAOI   |    17.2716 |
|   15 |   AAON   |    36.1325 |
|   15 |   AAP    |   158.9041 |
|   15 |   AAPL   |   165.3043 |
|   15 |   AAT    |    42.4833 |
|   15 |   AAU    |     0.7450 |
|   15 |   AAWW   |    52.5220 |
|   15 |   AAXJ   |    68.3612 |
|   15 |   AAXN   |    49.6768 |
|   15 |    AB    |    30.0000 |
|   15 |   ABB    |    19.3415 |
|   15 |   ABBV   |    78.9485 |
|   15 |   ABC    |    78.5333 |
|   15 |   ABCB   |    37.9154 |
|   15 |   ABDC   |     7.2061 |
|   15 |   ABEO   |     6.5528 |
|   15 |   ABEV   |     4.8226 |
|   15 |   ABG    |    70.1049 |
|   15 |   ABIL   |     2.0385 |
|   15 |   ABIO   |     0.4298 |
|   15 |   ABM    |    33.4068 |
|   15 |   ABMD   |   338.8556 |
|   15 |   ABR    |    11.7976 |
|   15 |   ABT    |    71.5863 |
|   15 |   ABTX   |    36.1281 |
|   15 |   ABUS   |     3.6975 |
|   15 |    AC    |    41.0450 |
|   15 |   ACA    |    28.8745 |
|   15 |   ACAD   |    22.7758 |
|   15 |   ACB    |     6.9264 |
|   15 |   ACBI   |    18.3804 |
|   15 |   ACC    |    46.1776 |
|   15 |   ACCO   |     8.8354 |
|   15 |   ACER   |    24.1221 |
|   15 |   ACET   |     1.2150 |
|   15 |   ACGL   |    29.2163 |
|   15 |  ACGLO   |    22.7800 |
|   15 |  ACGLP   |    22.2033 |
|   15 |   ACH    |     9.1129 |
|   15 |   ACHC   |    27.7402 |
|   15 |   ACHN   |     2.1613 |
|   15 |   ACHV   |     1.4700 |
|   15 |   ACIA   |    43.0455 |
|   15 |   ACIU   |     3.6568 |
|   15 |   ACIW   |    28.6729 |
|   15 |   ACLS   |    20.7515 |
|   15 |   ACM    |    30.3356 |
|   15 |   ACMR   |     9.3900 |
|   15 |   ACN    |   153.9812 |
|   15 |   ACNB   |    37.1907 |
|   15 |   ACOR   |    16.3898 |
|   15 |   ACRS   |     7.0020 |
|   15 |   ACRX   |     2.4460 |
|   15 |   ACTG   |     3.0350 |
|   15 |   ACU    |    16.8100 |
|   15 |   ACWI   |    68.8513 |
|   15 |   ACWV   |    84.9315 |
|   15 |   ACWX   |    45.0678 |
|   15 |   ADAP   |     4.6502 |
|   15 |   ADBE   |   242.4069 |
|   15 |   ADC    |    64.9703 |
|   15 |   ADES   |    11.4975 |
|   15 |   ADI    |    99.0200 |
|   15 |   ADIL   |     5.5877 |
|   15 |   ADM    |    44.6371 |
|   15 |   ADMA   |     3.1223 |
|   15 |   ADMP   |     3.0932 |
|   15 |   ADMS   |     8.9541 |
