| hour |  stock   |       VWAP |
--------------------------------
|    6 |   AAPL   |   163.1090 |
|    6 |   ADM    |    44.6900 |
|    6 |   AMD    |    20.8994 |
|    6 |   AMZN   |  1618.3564 |
|    6 |   BABA   |   160.9299 |
|    6 |   BIDU   |   166.6150 |
|    6 |   CCL    |    56.6600 |
|    6 |   CUK    |    55.8700 |
|    6 |   DGAZ   |    89.3702 |
|    6 |   DWT    |     9.3500 |
|    6 |   EBAY   |    33.8000 |
|    6 |   EWZ    |    44.0200 |
|    6 |    FB    |   145.3970 |
|    6 |    GE    |     9.0116 |
|    6 |  GOOGL   |  1076.4900 |
|    6 |   INTC   |    46.4195 |
|    6 |    JD    |    23.9478 |
|    6 |   JNPR   |    25.0798 |
|    6 |   MLNX   |    94.5347 |
|    6 |   NIO    |     6.9724 |
|    6 |   NVDA   |   134.0046 |
|    6 |   PCG    |    13.5365 |
|    6 |  RDS.A   |    59.7600 |
|    6 |   SPY    |   264.2850 |
|    6 |    SQ    |    69.4500 |
|    6 |    T     |    30.7065 |
|    6 |   TME    |    15.5700 |
|    6 |   TQQQ   |    42.7800 |
|    6 |   TSLA   |   297.7965 |
|    6 |   TVIX   |    46.1433 |
|    6 |   UGAZ   |    38.7506 |
|    6 |   VALE   |    12.1363 |
|    6 |   WHR    |   134.2400 |
|    6 |   XLNX   |   111.0737 |
|    6 |  ZVZZT   |    10.0000 |
