| hour |  stock   |       VWAP |
--------------------------------
|    8 |   AABA   |    65.8217 |
|    8 |   AAPL   |   161.8047 |
|    8 |   ABB    |    19.1400 |
|    8 |   ACIU   |     5.4376 |
|    8 |   ADP    |   137.4651 |
|    8 |   AGN    |   142.8116 |
|    8 |   AGNC   |    17.9650 |
|    8 |   AKS    |     2.7834 |
|    8 |   ALGN   |   207.9329 |
|    8 |   ALT    |     3.1400 |
|    8 |   AMAT   |    38.6831 |
|    8 |   AMD    |    21.0673 |
|    8 |   AMGN   |   187.6825 |
|    8 |   AMZN   |  1620.0082 |
|    8 |   ANTM   |   292.0141 |
|    8 |   ARLO   |     7.1200 |
|    8 |   ATTU   |    24.7200 |
|    8 |    AU    |    13.7400 |
|    8 |   AUO    |     3.9900 |
|    8 |   AVCO   |     6.0692 |
|    8 |   AVP    |     1.8700 |
|    8 |   AWSM   |     2.7400 |
|    8 |   AXSM   |     8.3000 |
|    8 |    BA    |   386.7496 |
|    8 |   BABA   |   160.4120 |
|    8 |   BAC    |    29.4500 |
|    8 |   BAK    |    28.0071 |
|    8 |   BGR    |    11.5800 |
|    8 |   BIDU   |   167.3100 |
|    8 |   BIIB   |   322.3753 |
|    8 |   BILI   |    18.0600 |
|    8 |   BNCL   |    15.3400 |
|    8 |    BP    |    40.4545 |
|    8 |  BRK.B   |   203.9400 |
|    8 |   BRZU   |    37.8436 |
|    8 |   BTI    |    34.0769 |
|    8 |   BTX    |     1.5740 |
|    8 |   BZUN   |    34.5200 |
|    8 |   CANF   |     1.3123 |
|    8 |   CARS   |    26.8550 |
|    8 |   CBS    |    50.3650 |
|    8 |   CCL    |    57.2306 |
|    8 |   CETV   |     3.0500 |
|    8 |   CFFN   |    13.1200 |
|    8 |   CGC    |    47.5044 |
|    8 |   CGIX   |     0.2550 |
|    8 |   CHKP   |   111.5809 |
|    8 |   CIEN   |    38.5100 |
|    8 |   CLF    |     9.7500 |
|    8 |   CLNC   |    15.3100 |
|    8 |  CMCSA   |    35.9005 |
|    8 |   CNI    |    83.3300 |
|    8 |   CODX   |     2.5886 |
|    8 |   COHR   |   114.3100 |
|    8 |   COLM   |    88.2400 |
|    8 |   CONN   |    20.7500 |
|    8 |   CRMD   |     1.8300 |
|    8 |   CRON   |    18.1203 |
|    8 |   CSCO   |    45.7950 |
|    8 |   CUK    |    56.6379 |
|    8 |   CZR    |     8.8739 |
|    8 |   DFS    |    67.2200 |
|    8 |   DGAZ   |    89.5567 |
|    8 |   DIA    |   247.9536 |
|    8 |   DIS    |   109.2583 |
|    8 |  DISCA   |    27.2500 |
|    8 |    DQ    |    34.0600 |
|    8 |   DUST   |    20.0000 |
|    8 |   DWT    |     9.3500 |
|    8 |   EBAY   |    33.6351 |
|    8 |   EDC    |    77.4400 |
|    8 |   EEM    |    42.1800 |
|    8 |   EGHT   |    17.6465 |
|    8 |   EKSO   |     2.1733 |
|    8 |   ENVA   |    21.9914 |
|    8 |   ERJ    |    21.1480 |
|    8 |   ETN    |    70.6400 |
|    8 |   EWY    |    64.0300 |
|    8 |   EWZ    |    44.2967 |
|    8 |   EXAS   |    85.9400 |
|    8 |   EYEN   |     4.1652 |
|    8 |    F     |     8.6900 |
|    8 |    FB    |   145.7334 |
|    8 |   FHB    |    26.2901 |
|    8 |   FRSX   |     2.0271 |
|    8 |   FSS    |    19.3988 |
|    8 |    GD    |   181.7518 |
|    8 |   GDEN   |    18.1000 |
|    8 |   GDX    |    21.9200 |
|    8 |   GDXJ   |    31.8083 |
|    8 |    GE    |     8.9683 |
|    8 |   GOGL   |     4.9549 |
|    8 |   GOOG   |  1067.6211 |
|    8 |  GOOGL   |  1078.0198 |
|    8 |   GPOR   |     8.4600 |
|    8 |    GS    |   201.0233 |
|    8 |   HEAR   |    14.5300 |
|    8 |   HFC    |    54.1600 |
|    8 |   HMNY   |     0.0116 |
|    8 |   HPQ    |    21.9800 |
|    8 |   HUYA   |    20.3100 |
|    8 |   HXL    |    67.9400 |
|    8 |   IBB    |   107.2560 |
|    8 |   IBM    |   134.2101 |
|    8 |   IBN    |    10.5077 |
|    8 |   ILMN   |   276.9992 |
|    8 |   INDA   |    32.0600 |
|    8 |   INFY   |    10.4589 |
|    8 |   INPX   |     2.2186 |
|    8 |   INTC   |    46.5725 |
|    8 |   IPCI   |     0.3632 |
|    8 |   IVZ    |    18.5000 |
