| hour |  stock   |       VWAP |
--------------------------------
|   10 |    A     |    73.6259 |
|   10 |    AA    |    29.0617 |
|   10 |   AABA   |    67.2716 |
|   10 |   AAL    |    36.3616 |
|   10 |   AAN    |    48.7860 |
|   10 |   AAOI   |    16.7234 |
|   10 |   AAON   |    35.7967 |
|   10 |   AAP    |   158.9014 |
|   10 |   AAPL   |   161.7377 |
|   10 |   AAT    |    42.3288 |
|   10 |   AAU    |     0.7401 |
|   10 |   AAWW   |    50.7625 |
|   10 |   AAXJ   |    67.4230 |
|   10 |   AAXN   |    48.4016 |
|   10 |    AB    |    29.9400 |
|   10 |   ABB    |    19.0830 |
|   10 |   ABBV   |    77.5588 |
|   10 |   ABC    |    79.5748 |
|   10 |   ABCB   |    37.6918 |
|   10 |   ABDC   |     7.0000 |
|   10 |   ABEO   |     6.5225 |
|   10 |   ABEV   |     4.7305 |
|   10 |   ABG    |    69.5329 |
|   10 |   ABIL   |     2.0500 |
|   10 |   ABIO   |     0.4375 |
|   10 |   ABM    |    33.3508 |
|   10 |   ABMD   |   328.6878 |
|   10 |   ABR    |    11.6803 |
|   10 |   ABT    |    70.0643 |
|   10 |   ABTX   |    36.2820 |
|   10 |   ACA    |    28.9968 |
|   10 |   ACAD   |    22.3305 |
|   10 |   ACB    |     6.9614 |
|   10 |   ACBI   |    18.4239 |
|   10 |   ACC    |    46.0428 |
|   10 |   ACCO   |     8.7665 |
|   10 |   ACER   |    22.8400 |
|   10 |   ACET   |     1.1908 |
|   10 |   ACGL   |    28.8994 |
|   10 |  ACGLO   |    22.7500 |
|   10 |  ACGLP   |    22.1558 |
|   10 |   ACH    |     9.0100 |
|   10 |   ACHC   |    27.5975 |
|   10 |   ACHN   |     2.0866 |
|   10 |   ACIA   |    42.9576 |
|   10 |   ACIU   |     3.7116 |
|   10 |   ACIW   |    28.4848 |
|   10 |   ACLS   |    20.4471 |
|   10 |   ACM    |    29.9691 |
|   10 |   ACMR   |     9.4600 |
|   10 |   ACN    |   152.0909 |
|   10 |   ACOR   |    15.8559 |
|   10 |   ACRS   |     6.9295 |
|   10 |   ACRX   |     2.4116 |
|   10 |   ACSI   |    30.8850 |
|   10 |   ACST   |     1.0334 |
|   10 |   ACT    |    22.8600 |
|   10 |   ACTG   |     3.0200 |
|   10 |   ACV    |    20.8800 |
|   10 |   ACWF   |    28.0300 |
|   10 |   ACWI   |    68.1446 |
|   10 |   ACWV   |    84.3500 |
|   10 |   ACWX   |    44.6064 |
|   10 |   ADAP   |     4.5824 |
|   10 |   ADBE   |   239.5435 |
|   10 |   ADC    |    64.6809 |
|   10 |   ADI    |    97.5340 |
|   10 |  ADILW   |     0.7100 |
|   10 |   ADM    |    44.4713 |
|   10 |   ADMA   |     3.0494 |
|   10 |   ADMP   |     3.1446 |
|   10 |   ADMS   |     8.4953 |
|   10 |   ADNT   |    18.8446 |
|   10 |   ADOM   |     0.2549 |
|   10 |   ADP    |   138.3509 |
|   10 |   ADRO   |     2.4335 |
|   10 |   ADS    |   176.5792 |
|   10 |   ADSK   |   141.3090 |
|   10 |   ADSW   |    24.8779 |
|   10 |   ADT    |     7.1623 |
|   10 |   ADTN   |    14.4876 |
|   10 |   ADUS   |    59.8494 |
|   10 |   ADVM   |     2.9393 |
|   10 |   ADX    |    13.5300 |
|   10 |   ADXS   |     0.3396 |
|   10 |   AEB    |    21.7300 |
|   10 |   AEE    |    67.7518 |
|   10 |   AEG    |     5.1750 |
|   10 |   AEGN   |    17.7800 |
|   10 |   AEH    |    25.6200 |
|   10 |   AEHR   |     1.1871 |
|   10 |   AEIS   |    50.6882 |
|   10 |   AEL    |    30.1596 |
|   10 |   AEM    |    42.5201 |
|   10 |   AEO    |    21.1043 |
|   10 |   AEP    |    77.4546 |
|   10 |   AER    |    47.6003 |
|   10 |   AERI   |    46.6217 |
|   10 |   AES    |    16.1372 |
|   10 |   AEZS   |     3.9450 |
|   10 |   AFG    |    94.1734 |
|   10 |   AFI    |    13.0944 |
|   10 |   AFIN   |    13.0032 |
|   10 |   AFK    |    21.3400 |
|   10 |   AFL    |    47.1213 |
|   10 |   AFMD   |     3.1966 |
|   10 |  AFSI-A  |     7.9900 |
|   10 |  AFSI-B  |     7.8000 |
|   10 |  AFSI-C  |     7.9000 |
|   10 |  AFSI-E  |     8.2800 |
|   10 |  AFSI-F  |     7.8900 |
|   10 |   AFST   |    14.4977 |
|   10 |    AG    |     5.8322 |
|   10 |   AGCO   |    63.2162 |
|   10 |   AGE    |     3.9990 |
|   10 |   AGEN   |     3.3864 |
|   10 |   AGFS   |     4.0085 |
|   10 |   AGG    |   106.8644 |
|   10 |   AGGY   |    48.6150 |
|   10 |   AGI    |     4.3755 |
|   10 |   AGIO   |    50.5772 |
|   10 |   AGLE   |     8.8312 |
|   10 |   AGM    |    71.7584 |
|   10 |   AGN    |   144.0218 |
|   10 |   AGNC   |    17.9496 |
|   10 |  AGNCN   |    25.7143 |
|   10 |   AGO    |    40.0375 |
|   10 |  AGO-E   |    25.5150 |
|   10 |   AGQ    |    27.7800 |
|   10 |   AGR    |    48.9614 |
|   10 |   AGRX   |     0.8401 |
|   10 |   AGS    |    24.5378 |
|   10 |   AGTC   |     2.8700 |
|   10 |   AGX    |    42.3100 |
|   10 |   AGYS   |    17.4271 |
|   10 |   AHH    |    14.8150 |
|   10 |   AHL    |    41.8381 |
|   10 |  AHL-C   |    24.8750 |
|   10 |   AHT    |     4.8879 |
|   10 |  AHT-G   |    20.8167 |
|   10 |  AHT-I   |    21.1600 |
|   10 |    AI    |     8.5850 |
|   10 |   AIF    |    14.4000 |
|   10 |   AIG    |    42.2861 |
|   10 |   AIG+   |     7.0300 |
|   10 |   AIMC   |    29.2600 |
|   10 |   AIMT   |    22.1213 |
|   10 |   AIN    |    67.6770 |
|   10 |   AINC   |    65.3990 |
|   10 |   AINV   |    14.7174 |
|   10 |   AIPT   |     1.0516 |
|   10 |   AIR    |    36.2884 |
|   10 |   AIRG   |    10.7846 |
|   10 |   AIRR   |    23.4100 |
