| hour |  stock   |       VWAP |
--------------------------------
|   16 |   AAL    |    36.4700 |
|   16 |   AAPL   |   165.2652 |
|   16 |   ACB    |     6.9700 |
|   16 |   ACIU   |     3.7800 |
|   16 |   ADBE   |   242.6492 |
|   16 |   ADP    |   139.7900 |
|   16 |   AGNC   |    17.7763 |
|   16 |   ALGT   |   134.9900 |
|   16 |   ALT    |     3.2200 |
|   16 |   AMD    |    23.1462 |
|   16 |   AMGN   |   185.3109 |
|   16 |   AMMA   |     0.2725 |
|   16 |   AMRN   |    16.9800 |
|   16 |   AMSC   |    12.9500 |
|   16 |   AMZN   |  1679.6903 |
|   16 |   APRN   |     1.4744 |
|   16 |   ARCB   |    42.1900 |
|   16 |   ARRS   |    31.2572 |
|   16 |   ARRY   |    18.2100 |
|   16 |   ATSG   |    23.6400 |
|   16 |   ATVI   |    46.4300 |
|   16 |   AVCO   |     5.6000 |
|   16 |   AVGO   |   271.5700 |
|   16 |   BABA   |   166.7019 |
|   16 |   BAC    |    29.0600 |
|   16 |   BBY    |    58.4700 |
|   16 |  BHFAL   |    24.9359 |
|   16 |   BIDU   |   169.9888 |
|   16 |    BJ    |    26.1100 |
|   16 |   BKNG   |  1817.7030 |
|   16 |   BLNK   |     2.4800 |
|   16 |   BMRN   |    97.2300 |
|   16 |   BOX    |    19.8175 |
|   16 |   BRID   |    27.5600 |
|   16 |   BZUN   |    34.0200 |
|   16 |   CCL    |    57.2300 |
|   16 |   CELG   |    87.7288 |
|   16 |   CGC    |    48.0933 |
|   16 |   CHTR   |   293.1800 |
|   16 |  CMCSA   |    35.5800 |
|   16 |   CMPR   |   113.0000 |
|   16 |   CODX   |     2.0837 |
|   16 |   CORT   |    11.9675 |
|   16 |   COST   |   210.0200 |
|   16 |   COUP   |    80.0200 |
|   16 |   CRBP   |     7.3000 |
|   16 |   CREE   |    50.7778 |
|   16 |   CRM    |   149.5100 |
|   16 |   CRON   |    18.4900 |
|   16 |   CRUS   |    38.0880 |
|   16 |   CSCO   |    46.8677 |
|   16 |   CSIQ   |    20.8900 |
|   16 |   CTRP   |    32.4900 |
|   16 |   CVCO   |   159.8736 |
|   16 |   CVS    |    65.7500 |
|   16 |   CYBR   |    86.9100 |
|   16 |   CZR    |     9.0500 |
|   16 |   DBX    |    23.9800 |
|   16 |   DDS    |    67.4800 |
|   16 |   DGAZ   |    88.8386 |
|   16 |   DHI    |    37.7400 |
|   16 |   DIA    |   249.8951 |
|   16 |   DISH   |    29.4300 |
|   16 |   DLB    |    70.0248 |
|   16 |   DLTR   |    95.9700 |
|   16 |   DWDP   |    59.4791 |
|   16 |   EBAY   |    34.0700 |
|   16 |   EDU    |    75.8600 |
|   16 |   EEFT   |   115.5600 |
|   16 |   EFII   |    22.1018 |
|   16 |   EKSO   |     1.7400 |
|   16 |   ETFC   |    46.8300 |
|   16 |   EUFN   |    18.2600 |
|   16 |   EWZ    |    44.6100 |
|   16 |   EXC    |    46.6100 |
|   16 |   EXEL   |    23.0500 |
|   16 |   EZPW   |     9.7400 |
|   16 |   FAMI   |     4.4900 |
|   16 |    FB    |   161.0713 |
|   16 |   FCAU   |    17.0800 |
|   16 |   FCX    |    11.2200 |
|   16 |   FIVN   |    49.7500 |
|   16 |   FLEX   |     9.8314 |
|   16 |   FOX    |    48.7900 |
|   16 |   FOXA   |    49.1325 |
|   16 |   FRSX   |     1.9100 |
|   16 |   FSLR   |    50.5100 |
|   16 |   FTS    |    35.6200 |
|   16 |   FXI    |    42.5600 |
|   16 |   GDXJ   |    32.2206 |
|   16 |    GE    |     9.1100 |
|   16 |   GHL    |    27.8671 |
|   16 |   GILD   |    69.8720 |
|   16 |   GLD    |   124.6400 |
|   16 |   GLOP   |    23.3900 |
|   16 |   GLUU   |     9.2600 |
|   16 |   GNTX   |    22.4000 |
|   16 |   GNW    |     4.8126 |
|   16 |   GOOG   |  1104.5157 |
|   16 |  GOOGL   |  1114.7388 |
|   16 |    GS    |   201.6300 |
|   16 |   HEAR   |    14.5900 |
|   16 |   HJLI   |     1.8000 |
|   16 |   HLG    |    34.2088 |
|   16 |   HOLX   |    45.1123 |
|   16 |   HPQ    |    21.9300 |
|   16 |   HROW   |     6.2400 |
|   16 |   HRTX   |    26.6400 |
|   16 |   HSY    |   107.0000 |
|   16 |   IBB    |   108.5200 |
|   16 |   IEF    |   104.3600 |
|   16 |   INTC   |    47.6023 |
|   16 |   IRBT   |    91.0300 |
|   16 |   ISRG   |   507.9900 |
|   16 |   IVV    |   269.0900 |
|   16 |   IWM    |   147.8040 |
|   16 |   IYR    |    82.6908 |
|   16 |   JBL    |    26.1100 |
|   16 |    JD    |    24.6061 |
|   16 |   JKS    |    15.5300 |
|   16 |   JNPR   |    25.7763 |
|   16 |   KEQU   |    32.0000 |
