| hour |  stock   |       VWAP |
--------------------------------
|    7 |   AAPL   |   162.9805 |
|    7 |   ABT    |    69.1800 |
|    7 |   ACIU   |     6.6127 |
|    7 |   ADP    |   137.9756 |
|    7 |   AGN    |   143.4400 |
|    7 |   ALGN   |   206.4755 |
|    7 |   AMAT   |    38.5800 |
|    7 |   AMD    |    21.2508 |
|    7 |   AMGN   |   187.6901 |
|    7 |   AMZN   |  1620.9951 |
|    7 |   ANTM   |   288.6997 |
|    7 |   AVCO   |     5.6695 |
|    7 |    BA    |   386.8233 |
|    7 |   BABA   |   160.2895 |
|    7 |   BAC    |    29.4700 |
|    7 |   BBL    |    43.7500 |
|    7 |   BHP    |    49.8556 |
|    7 |   BIDU   |   166.9586 |
|    7 |   BIIB   |   323.1208 |
|    7 |   BKNG   |  1820.0500 |
|    7 |   BOTZ   |    18.0252 |
|    7 |   BSBR   |    12.9000 |
|    7 |   CANF   |     1.3439 |
|    7 |   CAT    |   127.1600 |
|    7 |   CGC    |    47.7995 |
|    7 |   CHKP   |   112.0104 |
|    7 |   CLF    |     9.6600 |
|    7 |   CODX   |     1.8467 |
|    7 |   COHR   |   115.0000 |
|    7 |   DFEN   |    41.9900 |
|    7 |   DGAZ   |    88.8390 |
|    7 |   DIA    |   247.9070 |
|    7 |   DIS    |   111.0000 |
|    7 |   DRIP   |    11.0100 |
|    7 |   EBAY   |    33.8159 |
|    7 |   EGHT   |    17.0822 |
|    7 |   ETFC   |    47.2100 |
|    7 |   EWZ    |    44.1260 |
|    7 |   EYEN   |     4.5020 |
|    7 |    F     |     8.7438 |
|    7 |    FB    |   145.6306 |
|    7 |   FHB    |    26.2303 |
|    7 |   FRSX   |     2.0488 |
|    7 |   FTI    |    23.0100 |
|    7 |    GE    |     8.9441 |
|    7 |   GILD   |    69.4800 |
|    7 |   GLD    |   124.1300 |
|    7 |   GOGL   |     4.9702 |
|    7 |   GOOG   |  1068.1948 |
|    7 |  GOOGL   |  1076.8132 |
|    7 |    GS    |   200.8238 |
|    7 |    HD    |   180.9300 |
|    7 |   IBN    |    10.3723 |
|    7 |   INTC   |    46.5080 |
|    7 |   IPCI   |     0.3697 |
|    7 |    IR    |    97.8650 |
|    7 |    JD    |    23.9140 |
|    7 |   JNPR   |    24.8828 |
|    7 |   JVA    |     5.9780 |
|    7 |   KLAC   |   102.8400 |
|    7 |   KOLD   |    19.2084 |
|    7 |   MCD    |   179.0190 |
|    7 |   MLNX   |    92.7414 |
|    7 |   MMM    |   198.5700 |
|    7 |   MSFT   |   104.3603 |
|    7 |    MU    |    38.3823 |
|    7 |   NBEV   |     6.9400 |
|    7 |   NFLX   |   332.5661 |
|    7 |   NIO    |     6.9273 |
|    7 |   NVCN   |     0.7347 |
|    7 |   NVDA   |   134.0842 |
|    7 |   NVS    |    84.9181 |
|    7 |   OCX    |     5.5533 |
|    7 |   OSK    |    76.8900 |
|    7 |   PANW   |   206.7350 |
|    7 |   PAYX   |    70.3300 |
|    7 |   PBR    |    15.9297 |
|    7 |   PCG    |    13.5369 |
|    7 |   PDD    |    30.1721 |
|    7 |   PFE    |    40.7900 |
|    7 |   PULM   |     0.2000 |
|    7 |   PYPL   |    91.6800 |
|    7 |   QQQ    |   163.1000 |
|    7 |   RIO    |    55.5600 |
|    7 |   RMD    |    92.0100 |
|    7 |   RNN    |     0.6614 |
|    7 |   RWT    |    15.6838 |
|    7 |  RYAAY   |    70.2900 |
|    7 |   SBS    |    11.8000 |
|    7 |   SBUX   |    67.1200 |
|    7 |   SDOW   |    15.7800 |
|    7 |   SHW    |   409.9800 |
|    7 |   SIG    |    24.4900 |
|    7 |   SLV    |    14.9500 |
|    7 |   SPY    |   264.9540 |
|    7 |    SQ    |    69.7108 |
|    7 |   SRTY   |    28.9700 |
|    7 |   SYK    |   171.3433 |
|    7 |    T     |    29.8087 |
|    7 |   TER    |    36.9100 |
|    7 |   TGE    |    24.6300 |
|    7 |   TIS    |     1.2400 |
|    7 |   TME    |    15.5600 |
|    7 |   TMO    |   242.9000 |
|    7 |   TQQQ   |    43.0200 |
|    7 |   TRVN   |     1.0417 |
|    7 |   TSLA   |   298.4574 |
|    7 |   TVIX   |    45.8756 |
|    7 |   TWTR   |    31.9200 |
|    7 |   UGAZ   |    38.9687 |
|    7 |   UNG    |    25.6598 |
|    7 |    V     |   136.0800 |
|    7 |   VALE   |    12.2504 |
|    7 |   VIV    |    13.0355 |
|    7 |   WHR    |   134.1755 |
|    7 |   XLE    |    62.5500 |
|    7 |   XLK    |    65.2700 |
|    7 |   XLNX   |   111.0785 |
|    7 |  ZVZZT   |    10.0197 |
