| hour |  stock   |       VWAP |
--------------------------------
|   12 |    A     |    74.4186 |
|   12 |    AA    |    29.1143 |
|   12 |   AABA   |    67.1307 |
|   12 |   AAL    |    36.4344 |
|   12 |   AAN    |    49.1585 |
|   12 |   AAOI   |    17.1602 |
|   12 |   AAON   |    35.5268 |
|   12 |   AAP    |   159.7984 |
|   12 |   AAPL   |   162.4370 |
|   12 |   AAT    |    42.6491 |
|   12 |   AAWW   |    51.8061 |
|   12 |   AAXJ   |    67.5792 |
|   12 |   AAXN   |    48.9325 |
|   12 |   ABB    |    19.1649 |
|   12 |   ABBV   |    77.7665 |
|   12 |   ABC    |    79.5965 |
|   12 |   ABCB   |    37.4810 |
|   12 |   ABDC   |     7.1750 |
|   12 |   ABEO   |     6.5898 |
|   12 |   ABEV   |     4.7178 |
|   12 |   ABG    |    69.8204 |
|   12 |   ABIL   |     2.0200 |
|   12 |   ABM    |    32.8656 |
|   12 |   ABMD   |   333.8022 |
|   12 |   ABR    |    11.7382 |
|   12 |   ABT    |    70.6233 |
|   12 |   ABTX   |    36.1853 |
|   12 |   ABUS   |     3.5700 |
|   12 |    AC    |    41.2600 |
|   12 |   ACA    |    28.4434 |
|   12 |   ACAD   |    22.3691 |
|   12 |   ACB    |     6.9763 |
|   12 |   ACBI   |    18.4088 |
|   12 |   ACC    |    46.2618 |
|   12 |   ACCO   |     8.8150 |
|   12 |   ACER   |    23.6865 |
|   12 |   ACGL   |    28.9765 |
|   12 |   ACHC   |    27.7914 |
|   12 |   ACHN   |     2.0883 |
|   12 |   ACHV   |     1.4500 |
|   12 |   ACIA   |    42.8029 |
|   12 |   ACIU   |     4.3599 |
|   12 |   ACIW   |    28.4688 |
|   12 |   ACLS   |    20.5466 |
|   12 |   ACM    |    30.1513 |
|   12 |   ACMR   |     9.3560 |
|   12 |   ACN    |   152.7019 |
|   12 |   ACNB   |    37.0800 |
|   12 |   ACOR   |    15.9867 |
|   12 |   ACST   |     1.0250 |
|   12 |   ACTG   |     3.0425 |
|   12 |   ACU    |    17.1100 |
|   12 |   ACV    |    20.9542 |
|   12 |   ACWI   |    68.4080 |
|   12 |   ACWV   |    84.4900 |
|   12 |   ACWX   |    44.6800 |
|   12 |   ADAP   |     4.5500 |
|   12 |   ADBE   |   240.5592 |
|   12 |   ADC    |    64.9078 |
|   12 |   ADES   |    11.5281 |
|   12 |   ADI    |    98.0309 |
|   12 |   ADIL   |     5.7763 |
|   12 |  ADILW   |     0.7488 |
|   12 |   ADM    |    44.6774 |
|   12 |   ADMP   |     3.1200 |
|   12 |   ADMS   |     8.7929 |
|   12 |   ADNT   |    18.9145 |
|   12 |   ADP    |   139.4722 |
|   12 |   ADRO   |     2.4503 |
|   12 |   ADS    |   177.6185 |
|   12 |   ADSK   |   142.5411 |
|   12 |   ADSW   |    24.8835 |
|   12 |   ADT    |     7.1649 |
|   12 |   ADTN   |    14.7900 |
|   12 |   ADUS   |    60.2915 |
|   12 |   ADVM   |     3.0150 |
|   12 |   ADX    |    13.5683 |
|   12 |   ADXS   |     0.3396 |
|   12 |   AEB    |    22.4100 |
|   12 |   AEE    |    67.7525 |
|   12 |   AEGN   |    17.8321 |
|   12 |   AEH    |    25.6250 |
|   12 |   AEIS   |    50.5414 |
|   12 |   AEL    |    30.4621 |
|   12 |   AEM    |    42.3661 |
|   12 |   AEO    |    21.2080 |
|   12 |   AEP    |    77.1952 |
|   12 |   AER    |    47.7450 |
|   12 |   AERI   |    47.0823 |
|   12 |   AES    |    16.1649 |
|   12 |   AFG    |    95.0385 |
|   12 |   AFH    |     8.9847 |
|   12 |   AFI    |    13.1100 |
|   12 |   AFIN   |    13.0597 |
|   12 |   AFL    |    47.3361 |
|   12 |   AFMD   |     3.1948 |
|   12 |  AFSI-A  |     8.2200 |
|   12 |  AFSI-B  |     8.1400 |
|   12 |  AFSI-D  |     8.2400 |
|   12 |   AFSS   |    14.9050 |
|   12 |    AG    |     5.8345 |
|   12 |   AGCO   |    63.5094 |
|   12 |   AGE    |     3.9387 |
|   12 |   AGEN   |     3.4234 |
|   12 |   AGFS   |     4.0000 |
|   12 |   AGG    |   106.8393 |
|   12 |   AGGY   |    48.5600 |
|   12 |   AGI    |     4.3663 |
|   12 |   AGIO   |    50.6593 |
|   12 |   AGLE   |     9.1200 |
|   12 |   AGM    |    71.2562 |
|   12 |   AGN    |   144.0592 |
|   12 |   AGNC   |    17.9825 |
|   12 |   AGO    |    40.3283 |
|   12 |   AGR    |    48.9774 |
|   12 |   AGRO   |     7.2838 |
|   12 |   AGS    |    24.5253 |
|   12 |   AGTC   |     2.8700 |
|   12 |   AGX    |    41.9825 |
|   12 |   AGYS   |    17.9332 |
|   12 |   AGZ    |   112.1137 |
